,date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
72,2022-01-13,86.45573903674256,55.2104398886011,38.20406153401508,102.24767143047909,166.66699711072613,71.98056914668818,66.43414767918726,132.07105981771133,202.87546673403313
73,2022-01-14,86.43130494426319,55.55281249146992,38.302989086042516,102.30058138148928,166.79942127715486,72.08224672784512,66.45884327565413,132.03109616196843,203.0263680010048
74,2022-01-18,86.33324062218253,56.00778135053934,38.34837320646584,102.28328060523681,166.81878880597657,72.20468363032617,66.51132454892671,131.96311967289847,203.14884870142538
75,2022-01-19,86.17902691459139,56.43036306910166,38.33367402887253,102.1639360647267,166.74716366395646,72.2528995598758,66.46939713666957,131.8085178686144,203.20563251573785
76,2022-01-20,86.00380770531754,56.8053958130576,38.27792822136947,101.98409505808974,166.48612586615693,72.29386414540738,66.46240297306575,131.62491997725397,202.98053207552175
77,2022-01-21,85.7687951976092,57.00157712042602,38.188993281682244,101.7020244151291,166.04924640713787,72.33876869265745,66.49042658918833,131.44246371608563,202.70846844029222
78,2022-01-24,85.36893869451602,57.11799074888787,38.078417454931675,101.46998759752516,165.54964650984624,72.34179170604833,66.51634319004441,131.2517454838159,202.36794706391814
79,2022-01-25,85.10085270805035,57.28257713252666,37.99480305529788,101.34996804793312,165.18967204438934,72.36181228455024,66.45527418590106,131.06976435197612,202.08084679952844
80,2022-01-26,84.80914091524481,57.73047682186011,37.917821653085625,101.12952377760607,164.76953633475594,72.35326814059337,66.32399116781724,130.9436175152553,201.70957389248954
81,2022-01-27,84.47836306324605,58.04512956394914,37.85467365501229,100.86280225420445,164.3401568483402,72.2941006727145,66.1561719414717,130.74052612338886,201.27042598533455
82,2022-01-28,84.25110877741768,58.48731220906081,37.76826015116237,100.56685479410265,163.90495660816018,72.2729395789783,66.09301157596427,130.58877509507585,200.55655867236135
83,2022-01-31,84.0677272031941,58.87011568273381,37.73079044185904,100.37615983708281,163.55584862615223,72.31569269976367,66.12534627681491,130.66226836357134,199.91140703508626
84,2022-02-01,84.02414931727135,59.20790496643105,37.717076038453904,100.25558267129264,163.6142337734797,72.40469500933952,66.21808625634604,130.8600409465658,199.71315089470497
85,2022-02-02,84.07569743455329,59.785690605302165,37.72096167110881,100.25184077312099,163.76268317738698,72.45224023816897,66.21610760307942,131.0419956823318,199.7500641952607
86,2022-02-03,84.12565216809301,60.39869743975815,37.75949893771946,100.25776911375371,163.96745099774287,72.54797871584734,66.26282824025932,131.34328706777654,199.76709742892814
87,2022-02-04,84.02453358445243,60.83823043395741,37.77497765635138,100.16254391949778,164.0622864963125,72.68016831962161,66.26958759532677,131.55859984181535,199.65439913528007
88,2022-02-07,83.78229619121026,61.301633980758304,37.84464482505744,99.96805815060469,163.9652308766816,72.74196674877959,66.25600940036267,131.6925797134382,199.58916079948938
89,2022-02-08,83.54216232951967,61.79511910090379,37.89674645066978,99.78111487449681,163.8670692331038,72.76001734642227,66.23053737033548,131.7588602547661,199.5881195081435
90,2022-02-09,83.49933310207041,62.15772568261033,37.99688298116641,99.69584850988466,163.79271536047023,72.76882717858714,66.2311447417496,131.8994325458221,199.74934771038966
91,2022-02-10,83.5875091695346,62.51361232928512,38.09197836463673,99.66582527984855,163.92393662494212,72.78415609214801,66.22714360428958,132.07105321869287,199.9437539387306
92,2022-02-11,83.6116616869244,62.80211419128628,38.15999849420146,99.51417813080822,164.02313163395934,72.75820289036773,66.1682974542907,132.02933422404186,200.13705200380434
93,2022-02-14,83.51365036721356,63.26169572996702,38.200122437262394,99.30939602773037,163.8641709659729,72.72814448176402,66.06959646871583,131.8492536095161,199.99671650039755
94,2022-02-15,83.39332504981547,63.51478478088187,38.189974606573784,99.14329487987013,163.52975614880677,72.7259088126968,65.94136596160503,131.5785816696868,199.75228052179511
95,2022-02-16,83.42363909269491,63.67916203577446,38.202121304660096,99.12983382919248,163.32183979312762,72.75035860803189,65.82884884174919,131.34959572941625,199.56019570443635
96,2022-02-17,83.47910607269418,63.89234355284606,38.21654626317124,99.12711422738406,163.2651823036442,72.76234049819212,65.7749806327217,131.14509874661962,199.30164975044033
97,2022-02-18,83.3832247857198,64.02484052113859,38.161212646615596,98.92079134270612,163.1131403402014,72.81842339077825,65.74371978957747,130.9288819070529,198.82992566448223
98,2022-02-22,83.30497341200129,64.13381205077025,38.12271677156453,98.72574795761491,162.8444733991186,72.88639745072189,65.78090720018008,130.67563797495427,198.47422436197382
99,2022-02-23,83.13096000664046,64.14276749998547,38.09617443398843,98.4766353667858,162.46020677266773,72.95285190371985,65.80019280796861,130.48283445285387,198.2263301497272
100,2022-02-24,82.9468529624802,64.40545586940803,38.005520019930614,98.1642382288392,162.00508195510884,72.98319868123221,65.69393098752211,130.24651700308357,197.676738487985
101,2022-02-25,82.70855762049214,64.50027257651384,37.91479489529186,98.0582618029737,161.70375097833923,72.94035483764412,65.63493456005993,130.07973341073782,197.27515349433548
102,2022-02-28,82.80236187709986,64.82494650027101,37.90214804919404,98.06688528856407,161.65239755990035,73.00010228344041,65.67229729436973,130.10777264013865,197.1628468790836
103,2022-03-01,82.75144978825557,65.23072838125398,37.84086267130148,98.07955393727596,161.62730615532433,73.03436310187047,65.72328518535089,130.1118442345233,197.18344343084294
104,2022-03-02,82.47212067409535,65.71712269765527,37.71263161974477,97.92264367394452,161.4952937204379,73.00038741224898,65.77499002506315,130.02560166237933,197.0894310626315
105,2022-03-03,82.452095716254,66.37833834396858,37.67918206566496,98.01016985157015,161.38768647089034,72.99641504952956,65.83358571262323,130.0449697815348,196.99160699490614
