train/std,train/reward,train/n_updates,time/iterations,time/time_elapsed,train/entropy_loss,time/fps,time/total_timesteps,train/learning_rate,train/value_loss,train/policy_loss,train/explained_variance
0.9960342049598694,0.49554718,99,100,3,-12.734015464782715,156,500,0.0007,0.4200011193752289,-5.920619010925293,-0.10492706298828125
0.992628812789917,-0.51934963,199,200,5,-12.70348834991455,193,1000,0.0007,1.4654157161712646,-1.5581468343734741,-0.3258213996887207
0.9927510023117065,0.32139274,299,300,7,-12.699382781982422,211,1500,0.0007,4.882582664489746,-22.193117141723633,0.0
0.995697557926178,-3.6792428,399,400,9,-12.729247093200684,220,2000,0.0007,15.755966186523438,-48.895572662353516,0.0
0.9950682520866394,-0.90100026,499,500,11,-12.722429275512695,222,2500,0.0007,2.768158197402954,-18.643901824951172,0.0
0.9978313446044922,0.024665346,599,600,13,-12.75465202331543,221,3000,0.0007,0.3784129321575165,2.2552459239959717,-0.12099123001098633
0.9970505237579346,-0.035652477,699,700,16,-12.742303848266602,209,3500,0.0007,0.21315793693065643,0.25384265184402466,0.0
0.9980603456497192,-0.4848732,799,800,19,-12.754984855651855,200,4000,0.0007,2.0335962772369385,7.2617950439453125,0.0
0.9962921142578125,1.8351372,899,900,21,-12.733624458312988,205,4500,0.0007,5.255336284637451,-22.942312240600586,0.0
0.9931153059005737,-1.5512395,999,1000,23,-12.707256317138672,208,5000,0.0007,63.04719161987305,-84.4007339477539,-0.0022430419921875
0.9960347414016724,1.1427859,1099,1100,25,-12.73419189453125,212,5500,0.0007,6.216806888580322,-27.33282470703125,0.0
0.9972227811813354,-0.5699378,1199,1200,28,-12.745867729187012,208,6000,0.0007,0.6777797937393188,-3.4413609504699707,0.0
0.9979520440101624,0.6461369,1299,1300,31,-12.75206470489502,209,6500,0.0007,17.00600814819336,46.67068862915039,-2.387040853500366
0.9966946840286255,-0.71843,1399,1400,33,-12.73679256439209,211,7000,0.0007,0.8365688323974609,-0.9229217767715454,5.960464477539063e-08
0.9985781908035278,0.729697,1499,1500,35,-12.752362251281738,213,7500,0.0007,0.34650152921676636,6.578788757324219,5.960464477539063e-08
0.9977332353591919,-0.6361457,1599,1600,37,-12.747540473937988,215,8000,0.0007,1.1952309608459473,-7.779731750488281,0.0
0.9991884231567383,6.80307,1699,1700,39,-12.762338638305664,216,8500,0.0007,87.9579849243164,80.69840240478516,-0.06542277336120605
0.9963980913162231,0.59589946,1799,1800,42,-12.736581802368164,213,9000,0.0007,6.458405494689941,-30.520099639892578,-0.0600818395614624
0.9995313286781311,0.53137076,1899,1900,44,-12.759444236755371,213,9500,0.0007,17.74711036682129,-43.54993438720703,-1.2105886936187744
1.0005086660385132,0.6281651,1999,2000,46,-12.767800331115723,214,10000,0.0007,3.236440658569336,6.067425727844238,1.7881393432617188e-07
1.0028334856033325,1.3144348,2099,2100,48,-12.789139747619629,215,10500,0.0007,0.6976398825645447,3.403369903564453,1.7881393432617188e-07
0.9999663233757019,1.7790155,2199,2200,50,-12.764220237731934,216,11000,0.0007,11.63838005065918,41.44853973388672,0.0
1.0007137060165405,2.8551733,2299,2300,53,-12.770895004272461,216,11500,0.0007,58.36289596557617,94.9656982421875,2.384185791015625e-06
1.0032634735107422,0.7452041,2399,2400,56,-12.795807838439941,213,12000,0.0007,2.8750603199005127,18.11412811279297,0.0
1.003861904144287,-0.0813829,2499,2500,58,-12.79822826385498,214,12500,0.0007,2.141319513320923,-13.912739753723145,0.0005905628204345703
1.0035799741744995,0.7686059,2599,2600,60,-12.790666580200195,215,13000,0.0007,0.6468440890312195,3.8706870079040527,0.0
1.0096970796585083,-0.13674933,2699,2700,62,-12.847511291503906,216,13500,0.0007,4.769786357879639,-14.033795356750488,-0.004818081855773926
1.007997751235962,-0.2177546,2799,2800,64,-12.833513259887695,217,14000,0.0007,4.290466785430908,-24.679950714111328,0.0
1.0060763359069824,-1.3000532,2899,2900,66,-12.81550407409668,217,14500,0.0007,12.484243392944336,43.638038635253906,-0.013048052787780762
1.0065840482711792,-0.8907932,2999,3000,69,-12.81750202178955,215,15000,0.0007,0.4514886736869812,8.69898796081543,0.4609203338623047
1.0104734897613525,-1.5935386,3099,3100,71,-12.85112190246582,216,15500,0.0007,4.166420936584473,-13.968029975891113,0.0
1.0137109756469727,4.1593084,3199,3200,73,-12.885119438171387,217,16000,0.0007,9.736079216003418,32.78832244873047,0.0
1.0141987800598145,1.360678,3299,3300,75,-12.889701843261719,218,16500,0.0007,12.881753921508789,41.068458557128906,0.0
1.0160688161849976,4.099402,3399,3400,77,-12.908868789672852,219,17000,0.0007,24.670167922973633,-58.885826110839844,0.0
1.0153577327728271,0.5319395,3499,3500,79,-12.900314331054688,219,17500,0.0007,105.93087005615234,133.32449340820312,0.0
1.0116878747940063,0.48089734,3599,3600,82,-12.869253158569336,217,18000,0.0007,0.08306008577346802,-1.540558099746704,-0.2560344934463501
1.0139555931091309,-0.37710714,3699,3700,84,-12.889581680297852,218,18500,0.0007,1.4734827280044556,-4.149209022521973,0.0
1.016853928565979,0.582694,3799,3800,86,-12.913145065307617,218,19000,0.0007,19.02290916442871,55.840232849121094,0.00898665189743042
1.0164390802383423,0.16958952,3899,3900,88,-12.913973808288574,219,19500,0.0007,6.264710426330566,21.833328247070312,1.1920928955078125e-07
1.017957091331482,-1.0473741,3999,4000,90,-12.929677963256836,220,20000,0.0007,0.8345537185668945,4.665621757507324,0.0
1.0165189504623413,-3.4917011,4099,4100,92,-12.908955574035645,220,20500,0.0007,11.166301727294922,-27.204071044921875,0.0
