train/learning_rate,time/total_timesteps,train/n_updates,train/std,time/iterations,train/entropy_loss,train/policy_loss,train/explained_variance,train/value_loss,time/time_elapsed,time/fps,train/reward
0.0007,500,99,1.0022133588790894,100,-12.79233455657959,-30.509450912475586,-0.05943334102630615,4.68825626373291,2,234,0.24581912
0.0007,1000,199,1.002377986907959,200,-12.79178524017334,7.2529778480529785,0.15458667278289795,0.9634420275688171,4,239,0.5677232
0.0007,1500,299,1.0003838539123535,300,-12.77120590209961,-14.640874862670898,0.0,3.0052521228790283,6,233,-2.5477097
0.0007,2000,399,0.9983129501342773,400,-12.755176544189453,10.697061538696289,0.0,2.37850284576416,9,216,0.07760653
0.0007,2500,499,0.9958087205886841,500,-12.725455284118652,-11.689083099365234,0.0,4.809492111206055,12,205,0.29338244
0.0007,3000,599,0.9964501857757568,600,-12.728536605834961,19.944408416748047,0.0,1.7674493789672852,15,196,0.20543116
0.0007,3500,699,0.9977798461914062,700,-12.743217468261719,-1.8439996242523193,0.0,0.3291979730129242,17,200,-0.52354294
0.0007,4000,799,0.9957470297813416,800,-12.727200508117676,-9.043728828430176,-1.1920928955078125e-07,1.3205835819244385,19,202,1.2394801
0.0007,4500,899,0.9951308369636536,900,-12.72387409210205,28.485265731811523,0.0,11.305946350097656,21,205,4.8229685
0.0007,5000,999,0.9957230091094971,1000,-12.728130340576172,-53.186126708984375,0.0,64.62078094482422,25,199,5.782319
0.0007,5500,1099,0.9938511252403259,1100,-12.709863662719727,128.5846405029297,0.0,101.09385681152344,27,202,3.6081321
0.0007,6000,1199,0.9894990921020508,1200,-12.671941757202148,-29.434406280517578,0.0,6.833868503570557,29,205,-1.91944
0.0007,6500,1299,0.9889208674430847,1300,-12.663440704345703,-28.152435302734375,0.0,6.81741189956665,31,207,0.9904162
0.0007,7000,1399,0.98869788646698,1400,-12.661401748657227,46.96770477294922,0.0,13.324193000793457,33,210,0.9847506
0.0007,7500,1499,0.9864773154258728,1500,-12.645268440246582,36.58225631713867,0.0,15.84570598602295,35,211,-0.55918646
0.0007,8000,1599,0.9835560321807861,1600,-12.61172866821289,-5.914373874664307,0.0,10.548270225524902,38,207,1.7636935
0.0007,8500,1699,0.9828814268112183,1700,-12.609353065490723,191.45846557617188,0.0,367.430908203125,40,209,15.433291
0.0007,9000,1799,0.9818220138549805,1800,-12.598923683166504,-39.92432403564453,0.0,15.72625732421875,42,210,1.0260204
0.0007,9500,1899,0.9865633845329285,1900,-12.642704010009766,-48.16645050048828,0.0,15.507970809936523,44,212,0.46070048
0.0007,10000,1999,0.9855928421020508,2000,-12.635415077209473,-3.5586133003234863,0.0,0.6617683172225952,46,213,-0.10477379
0.0007,10500,2099,0.9875525236129761,2100,-12.649319648742676,-8.641000747680664,0.0,4.57534122467041,49,213,2.7545633
0.0007,11000,2199,0.987316370010376,2200,-12.650517463684082,42.697391510009766,0.0,20.04116439819336,52,211,-0.5144501
0.0007,11500,2299,0.9814170002937317,2300,-12.593705177307129,213.116943359375,-1.1920928955078125e-07,378.82391357421875,54,212,4.2531013
0.0007,12000,2399,0.9796149134635925,2400,-12.575483322143555,30.009418487548828,-7.152557373046875e-07,6.3248395919799805,55,214,0.10263147
