,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-14,24.671302795410156,14.66349983215332,25.296499252319336,40.01298141479492,12.845999717712402,27.450000762939453,14.66349983215332,25.296499252319336,45.959999084472656,12.845999717712402,27.622499465942383,14.795499801635742,25.413000106811523,46.2400016784668,13.013333320617676,27.125,14.324999809265137,24.908000946044922,45.619998931884766,12.333333015441895,27.260000228881836,14.596500396728516,25.020999908447266,45.959999084472656,12.388667106628418,195826400,110774000,52800000,29719600,173278500
2015-01-15,24.001718521118164,14.34749984741211,25.20050048828125,39.59508514404297,12.791333198547363,26.704999923706055,14.34749984741211,25.20050048828125,45.47999954223633,12.791333198547363,27.514999389648438,14.800000190734863,25.487499237060547,46.380001068115234,13.050000190734863,26.665000915527344,14.340999603271484,25.100500106811523,45.40999984741211,12.666666984558105,27.5,14.699999809265137,25.444499969482422,46.220001220703125,12.965999603271484,240056000,88384000,51068000,32750800,78247500
2015-01-16,23.815221786499023,14.536999702453613,25.523000717163086,40.256752014160156,12.871333122253418,26.497499465942383,14.536999702453613,25.523000717163086,46.2400016784668,12.871333122253418,26.895000457763672,14.53950023651123,25.542499542236328,46.279998779296875,12.965999603271484,26.299999237060547,14.262499809265137,25.154499053955078,45.16999816894531,12.643333435058594,26.75749969482422,14.314000129699707,25.157499313354492,45.310001373291016,12.713333129882812,314053200,69564000,49658000,35695300,54048000
2015-01-20,24.428634643554688,14.472000122070312,25.496999740600586,40.3873405456543,12.795332908630371,27.18000030517578,14.472000122070312,25.496999740600586,46.38999938964844,12.795332908630371,27.24250030517578,14.668000221252441,25.780500411987305,46.650001525878906,12.941332817077637,26.625,14.319499969482422,25.4685001373291,45.56999969482422,12.469332695007324,26.959999084472656,14.629500389099121,25.638500213623047,46.29999923706055,12.924667358398438,199599600,61502000,46796000,36161900,67548000
2015-01-21,24.615129470825195,14.862500190734863,26.019500732421875,39.97815704345703,13.104666709899902,27.387500762939453,14.862500190734863,26.019500732421875,45.91999816894531,13.104666709899902,27.764999389648438,15.300000190734863,26.092500686645508,46.13999938964844,13.245332717895508,27.0674991607666,14.36299991607666,25.47949981689453,45.47999954223633,12.633999824523926,27.237499237060547,14.482000350952148,25.54199981689453,45.939998626708984,12.636667251586914,194303600,201302000,46356000,39081100,62295000
2015-01-22,25.25550651550293,15.515999794006348,26.864999771118164,41.031585693359375,13.441332817077637,28.100000381469727,15.515999794006348,26.864999771118164,47.130001068115234,13.441332817077637,28.11750030517578,15.612500190734863,26.941999435424805,47.13999938964844,13.549332618713379,27.43000030517578,15.0,26.095500946044922,46.08000183105469,13.013333320617676,27.565000534057617,15.0,26.149999618530273,46.380001068115234,13.133333206176758,215185600,107252000,56068000,35898000,61753500
2015-01-23,25.385831832885742,15.619500160217285,27.09749984741211,41.07511901855469,13.419333457946777,28.2450008392334,15.619500160217285,27.09749984741211,47.18000030517578,13.419333457946777,28.4375,15.846500396728516,27.27050018310547,47.38999938964844,13.566666603088379,27.88249969482422,15.38599967956543,26.787500381469727,46.79999923706055,13.222000122070312,28.075000762939453,15.404000282287598,26.901500701904297,47.36000061035156,13.352666854858398,185859200,89928000,45966000,26211600,51579000
2015-01-26,25.412792205810547,15.482999801635742,26.836000442504883,40.92711639404297,13.770000457763672,28.274999618530273,15.482999801635742,26.836000442504883,47.0099983215332,13.770000457763672,28.59000015258789,15.649999618530273,27.075000762939453,47.130001068115234,13.907999992370605,28.200000762939453,15.37600040435791,26.603500366210938,46.2400016784668,13.403332710266113,28.434999465942383,15.590999603271484,27.075000762939453,47.0,13.45533275604248,222460000,63394000,30932000,42525500,48517500
2015-01-27,24.52300453186035,15.337499618530273,26.059499740600586,37.139984130859375,13.732000350952148,27.28499984741211,15.337499618530273,26.059499740600586,42.65999984741211,13.732000350952148,28.1200008392334,15.51200008392334,26.638999938964844,43.20000076293945,13.868666648864746,27.25749969482422,15.131500244140625,26.042999267578125,42.11000061035156,13.553333282470703,28.104999542236328,15.3149995803833,26.56999969482422,42.95000076293945,13.628000259399414,382274800,58406000,39148000,169164000,41715000
2015-01-28,25.909353256225586,15.195500373840332,25.62150001525879,35.86020278930664,13.291333198547363,28.827499389648438,15.195500373840332,25.62150001525879,41.189998626708984,13.291333198547363,29.530000686645508,15.575499534606934,26.284500122070312,42.790000915527344,13.758000373840332,28.827499389648438,15.1899995803833,25.61750030517578,41.15999984741211,13.227999687194824,29.407499313354492,15.490500450134277,26.25,42.7400016784668,13.740667343139648,585908400,61276000,35822000,84507100,47244000
