time/total_timesteps,train/learning_rate,train/value_loss,train/n_updates,train/reward,train/entropy_loss,train/std,train/explained_variance,time/fps,time/time_elapsed,train/policy_loss,time/iterations
500,0.0007,1.4017075300216675,99,0.11352264,-12.77325439453125,1.0004737377166748,0.19164162874221802,153,3,14.243449211120605,100
1000,0.0007,1.0954567193984985,199,-1.0846187,-12.786720275878906,1.0018391609191895,-1.7098817825317383,156,6,-14.766122817993164,200
1500,0.0007,4.223880767822266,299,2.7396321,-12.759197235107422,0.9985737204551697,-0.5953978300094604,142,10,-29.5982608795166,300
2000,0.0007,4.099614143371582,399,0.7391096,-12.778892517089844,1.0012820959091187,-0.04515409469604492,136,14,-12.200990676879883,400
2500,0.0007,6.846718788146973,499,-2.9117243,-12.812803268432617,1.0048075914382935,0.0,140,17,25.376651763916016,500
3000,0.0007,3.178173065185547,599,-2.1925197,-12.813863754272461,1.0050439834594727,0.0,144,20,1.5403774976730347,600
3500,0.0007,0.3868769407272339,699,0.4145952,-12.824017524719238,1.0063356161117554,0.0,143,24,-3.177029848098755,700
4000,0.0007,0.30850666761398315,799,0.7454906,-12.840947151184082,1.0076422691345215,0.0,137,29,4.287818908691406,800
4500,0.0007,10.417917251586914,899,0.8696015,-12.831576347351074,1.0075188875198364,-0.0032433271408081055,140,32,33.59133529663086,900
5000,0.0007,16.809343338012695,999,1.9387066,-12.83976936340332,1.0081419944763184,-1.1920928955078125e-07,141,35,-44.82038497924805,1000
5500,0.0007,18.67290496826172,1099,-6.0190587,-12.838272094726562,1.0082932710647583,0.0,142,38,-47.606163024902344,1100
6000,0.0007,19.29886245727539,1199,2.7057095,-12.8316011428833,1.0074961185455322,0.0,137,43,-47.83601760864258,1200
6500,0.0007,0.5459489226341248,1299,0.13708013,-12.801286697387695,1.004539966583252,0.30264943838119507,135,47,-0.9009411931037903,1300
7000,0.0007,2.279045581817627,1399,0.9164172,-12.797745704650879,1.0037941932678223,-0.4655342102050781,137,50,-19.186992645263672,1400
7500,0.0007,2.840238094329834,1499,1.2503557,-12.816202163696289,1.0057328939437866,0.00895470380783081,137,54,16.323963165283203,1500
8000,0.0007,0.5778346657752991,1599,-1.8392907,-12.818692207336426,1.0060524940490723,-0.007630825042724609,135,59,6.637913703918457,1600
8500,0.0007,0.5519744157791138,1699,-0.0066190623,-12.82231330871582,1.006415843963623,5.900859832763672e-06,136,62,-5.841001987457275,1700
9000,0.0007,2.7660117149353027,1799,0.987003,-12.76949405670166,1.000964879989624,0.004373729228973389,137,65,15.621026992797852,1800
9500,0.0007,19.83950424194336,1899,-1.5017574,-12.772016525268555,1.0010992288589478,0.0,138,68,50.68559265136719,1900
10000,0.0007,0.2590736746788025,1999,0.6783043,-12.78494644165039,1.002253532409668,0.0023136138916015625,135,73,-4.013592720031738,2000
10500,0.0007,0.3747981786727905,2099,-0.7931386,-12.793058395385742,1.0033470392227173,0.0,136,76,2.3410427570343018,2100
11000,0.0007,0.6106849908828735,2199,2.440839,-12.790668487548828,1.003389835357666,0.0,137,80,-8.063850402832031,2200
11500,0.0007,5.651610374450684,2299,-2.1704376,-12.823305130004883,1.006853461265564,0.0,138,83,26.53351402282715,2300
12000,0.0007,4.676548480987549,2399,1.5730127,-12.82536792755127,1.0068970918655396,0.0,136,88,-24.37126922607422,2400
12500,0.0007,81.6884994506836,2499,0.845978,-12.828213691711426,1.0073018074035645,-0.22765064239501953,136,91,121.6275634765625,2500
